filename, language, XML, YAML, Markdown, Groovy, Python, Lua, Shell Script, Makefile, C++, C, HTML, comment, blank, total
/home/msi/carto/carto_ros/src/cartographer/.bazelci/presubmit.yml, YAML, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
/home/msi/carto/carto_ros/src/cartographer/.github/PULL_REQUEST_TEMPLATE.md, Markdown, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
/home/msi/carto/carto_ros/src/cartographer/.travis.yml, YAML, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 36
/home/msi/carto/carto_ros/src/cartographer/CONTRIBUTING.md, Markdown, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
/home/msi/carto/carto_ros/src/cartographer/bazel/third_party/cairo/cairo-features.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 26, 6, 51
/home/msi/carto/carto_ros/src/cartographer/bazel/third_party/cairo/config.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 198, 122, 429
/home/msi/carto/carto_ros/src/cartographer/bazel/third_party/fontconfig/config.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 168, 105, 373
/home/msi/carto/carto_ros/src/cartographer/bazel/third_party/pixman/config.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 89, 56, 194
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/client/map_builder_stub.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 135, 0, 0, 19, 21, 175
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/client/map_builder_stub.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 15, 11, 69
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/client/pose_graph_stub.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 141, 0, 0, 15, 19, 175
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/client/pose_graph_stub.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 15, 10, 64
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/client/trajectory_builder_stub.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 15, 14, 171
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/client/trajectory_builder_stub.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 15, 11, 89
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/client_server_test.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 358, 0, 0, 19, 28, 405
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_fixed_frame_pose_data_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 21, 8, 65
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_fixed_frame_pose_data_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 15, 8, 46
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_fixed_frame_pose_data_handler_test.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 15, 9, 93
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_imu_data_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 21, 8, 62
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_imu_data_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 15, 8, 44
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_imu_data_handler_test.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 15, 9, 89
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_landmark_data_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 21, 8, 63
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_landmark_data_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 15, 8, 45
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_landmark_data_handler_test.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 15, 9, 96
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_odometry_data_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 21, 8, 63
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_odometry_data_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 15, 8, 45
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_odometry_data_handler_test.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 15, 9, 91
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_rangefinder_data_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 18, 7, 50
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_rangefinder_data_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 15, 8, 46
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_rangefinder_data_handler_test.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 15, 8, 69
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_sensor_data_batch_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 15, 6, 92
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_sensor_data_batch_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 15, 7, 43
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_trajectory_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 20, 10, 72
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_trajectory_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 15, 8, 43
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/add_trajectory_handler_test.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 15, 11, 138
/home/msi/carto/carto_ros/src/cartographer/cartographer/cloud/internal/handlers/finish_trajectory_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 15, 6, 47
